# StartTime = 07/20/2018 01:53:17.7217 PM									
Time (sec)	 Vehicle speed (MPH)	 Engine RPM (RPM)	 Absolute throttle position (%)	 Absolute load value (%)		MPH	RPM	Throttle 	Load
16.873	51.57381	3846	17.64706	11.37255		51	3875	18	12
16.937	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.001	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.061	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.125	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.189	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.252	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.311	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.375	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.439	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.499	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.561	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.625	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.689	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.749	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.813	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.873	51.57381	3846	17.64706	11.37255		51	3875	18	12
17.936	51.57381	3850	17.64706	11.37255		51	3875	18	12
18.001	51.57381	3850	17.64706	11.37255		51	3875	18	12
18.061	51.57381	3850	17.64706	11.37255		51	3875	18	12
18.125	51.57381	3846	17.64706	11.37255		51	3875	18	12
18.189	51.57381	3846	17.64706	11.37255		51	3875	18	12
18.252	51.57381	3846	17.64706	11.37255		51	3875	18	12
18.315	51.57381	3840	17.64706	11.37255		51	3875	18	12
18.374	51.57381	3840	17.64706	11.37255		51	3875	18	12
18.437	51.57381	3840	17.64706	11.37255		51	3875	18	12
18.5	51.57381	3840	17.64706	11.37255		51	3875	18	12
18.562	51.57381	3822	17.64706	11.37255		51	3875	18	12
18.626	51.57381	3822	17.64706	11.37255		51	3875	18	12
18.686	50.95244	3822	17.64706	11.37255		51	3875	18	12
18.749	50.95244	3809	17.64706	11.37255		51	3750	18	12
18.811	50.95244	3809	17.64706	11.37255		51	3750	18	12
18.876	50.95244	3809	17.64706	11.37255		51	3750	18	12
18.94	50.95244	3772	17.64706	11.37255		51	3750	18	12
19	50.95244	3772	17.64706	11.37255		51	3750	18	12
19.061	50.33107	3772	17.64706	11.37255		51	3750	18	12
19.125	50.33107	3772	17.64706	11.37255		51	3750	18	12
19.189	50.33107	3742	17.64706	11.37255		51	3750	18	12
19.25	50.33107	3742	17.2549	11.37255		51	3750	17	12
19.312	49.70969	3742	17.2549	11.37255		51	3750	17	12
19.376	49.70969	3698	17.2549	11.37255		51	3750	17	12
19.436	49.70969	3698	17.2549	10.98039		51	3750	17	10
19.5	49.08833	3698	17.2549	10.98039		48	3750	17	10
19.561	49.08833	3698	17.2549	10.98039		48	3750	17	10
19.625	49.08833	3647	17.2549	10.98039		48	3625	17	10
19.689	48.46695	3647	17.2549	11.37255		48	3625	17	12
19.749	48.46695	3647	17.2549	11.37255		48	3625	17	12
19.811	48.46695	3602	17.2549	11.37255		48	3625	17	12
19.875	47.84558	3602	17.2549	10.98039		48	3625	17	10
19.937	47.84558	3602	17.2549	10.98039		48	3625	17	10
20.001	47.84558	3551	17.2549	10.98039		48	3500	17	10
20.061	47.84558	3551	17.2549	11.37255		48	3500	17	12
20.125	47.22421	3551	17.2549	11.37255		48	3500	17	12
20.189	47.22421	3551	17.2549	11.37255		48	3500	17	12
20.249	47.22421	3494	16.86275	11.37255		48	3500	17	12
20.311	47.22421	3494	16.86275	10.98039		48	3500	17	10
20.375	46.60284	3494	16.86275	10.98039		48	3500	17	10
20.439	46.60284	3443	16.86275	10.98039		48	3500	17	10
20.499	46.60284	3443	16.86275	10.98039		48	3500	17	10
20.561	45.98147	3443	16.86275	10.98039		45	3500	17	10
20.625	45.98147	3443	16.86275	10.98039		45	3500	17	10
20.689	45.98147	3379	16.86275	10.98039		45	3375	17	10
20.749	44.73873	3379	16.86275	11.37255		45	3375	17	12
20.812	44.73873	3379	16.86275	11.37255		45	3375	17	12
20.876	44.73873	3327	16.86275	11.37255		45	3375	17	12
20.94	44.73873	3327	16.86275	10.58823		45	3375	17	10
21	44.11736	3327	16.86275	10.58823		45	3375	17	10
21.061	44.11736	3327	16.86275	10.58823		45	3375	17	10
21.125	44.11736	3269	16.47059	10.58823		45	3250	16	10
21.189	43.49598	3269	16.47059	10.58823		42	3250	16	10
21.25	43.49598	3269	16.47059	10.58823		42	3250	16	10
21.311	43.49598	3210	16.47059	10.58823		42	3250	16	10
21.375	43.49598	3210	16.47059	10.19608		42	3250	16	10
21.439	42.25324	3210	16.47059	10.19608		42	3250	16	10
21.499	42.25324	3142	16.47059	10.19608		42	3125	16	10
21.561	42.25324	3142	16.47059	10.19608		42	3125	16	10
21.625	41.63187	3142	16.47059	10.19608		42	3125	16	10
21.689	41.63187	3142	16.47059	10.19608		42	3125	16	10
21.749	41.63187	3095	16.47059	10.19608		42	3125	16	10
21.811	41.63187	3095	16.07843	10.19608		42	3125	16	10
21.875	41.0105	3095	16.07843	10.19608		42	3125	16	10
21.939	41.0105	3052	16.07843	10.19608		42	3000	16	10
22	41.0105	3052	16.07843	10.19608		42	3000	16	10
22.062	41.0105	3052	16.07843	9.803922		42	3000	16	10
22.126	41.0105	3052	16.07843	9.803922		42	3000	16	10
22.186	41.0105	3036	16.07843	9.803922		42	3000	16	10
22.251	40.38913	3036	16.07843	9.803922		39	3000	16	10
22.311	40.38913	3036	16.07843	9.803922		39	3000	16	10
22.375	40.38913	3033	16.07843	9.803922		39	3000	16	10
22.439	40.38913	3033	16.07843	9.411765		39	3000	16	10
22.499	40.38913	3033	16.07843	9.411765		39	3000	16	10
22.561	40.38913	3029	16.07843	9.411765		39	3000	16	10
22.625	40.38913	3029	16.07843	9.803922		39	3000	16	10
22.689	40.38913	3029	16.07843	9.803922		39	3000	16	10
22.749	40.38913	3014	16.07843	9.803922		39	3000	16	10
22.811	40.38913	3014	16.07843	9.411765		39	3000	16	10
22.875	40.38913	3014	16.07843	9.411765		39	3000	16	10
22.939	40.38913	3014	16.07843	9.411765		39	3000	16	10
22.998	40.38913	2985	15.68627	9.411765		39	3000	16	10
23.061	39.76776	2985	15.68627	9.803922		39	3000	16	10
23.125	39.76776	2985	15.68627	9.803922		39	3000	16	10
23.189	39.76776	2957	15.68627	9.803922		39	3000	16	10
23.252	39.76776	2957	15.68627	9.411765		39	3000	16	10
23.315	39.14639	2957	15.68627	9.411765		39	3000	16	10
23.374	39.14639	2943	15.68627	9.411765		39	3000	16	10
23.437	39.14639	2943	15.68627	9.411765		39	3000	16	10
23.5	39.14639	2943	15.68627	9.411765		39	3000	16	10
23.561	39.14639	2931	15.68627	9.411765		39	2875	16	10
23.625	39.14639	2931	16.07843	9.411765		39	2875	16	10
23.689	39.14639	2931	16.07843	9.411765		39	2875	16	10
23.749	39.14639	2931	16.07843	9.411765		39	2875	16	10
23.811	39.14639	2928	16.07843	9.411765		39	2875	16	10
23.875	39.14639	2928	15.68627	9.411765		39	2875	16	10
23.939	39.14639	2928	15.68627	9.411765		39	2875	16	10
24.001	39.14639	2928	15.68627	9.411765		39	2875	16	10
24.062	39.14639	2923	15.68627	9.411765		39	2875	16	10
24.126	39.14639	2923	15.68627	9.803922		39	2875	16	10
24.186	39.14639	2923	15.68627	9.803922		39	2875	16	10
24.25	39.14639	2922	15.68627	9.803922		39	2875	16	10
24.311	39.14639	2922	15.68627	9.411765		39	2875	16	10
24.375	39.14639	2922	15.68627	9.411765		39	2875	16	10
24.439	39.14639	2922	15.68627	9.411765		39	2875	16	10
24.499	39.14639	2922	15.68627	9.411765		39	2875	16	10
24.561	39.14639	2922	15.68627	9.411765		39	2875	16	10
24.625	39.14639	2922	15.68627	9.411765		39	2875	16	10
24.689	39.14639	2921	15.68627	9.411765		39	2875	16	10
24.749	39.14639	2921	15.68627	9.411765		39	2875	16	10
24.811	39.14639	2921	15.68627	9.411765		39	2875	16	10
24.875	39.14639	2919	15.68627	9.411765		39	2875	16	10
24.939	39.14639	2919	15.68627	9.411765		39	2875	16	10
25.002	39.14639	2919	15.68627	9.411765		39	2875	16	10
25.064	39.14639	2919	15.68627	9.411765		39	2875	16	10
25.123	39.14639	2921	15.68627	9.411765		39	2875	16	10
25.187	39.14639	2921	15.68627	9.411765		39	2875	16	10
25.251	39.14639	2921	15.68627	9.411765		39	2875	16	10
25.311	39.14639	2921	15.68627	9.411765		39	2875	16	10
25.375	39.14639	2911	15.68627	9.411765		39	2875	16	10
25.439	39.14639	2911	15.68627	9.411765		39	2875	16	10
25.499	39.14639	2911	15.68627	9.411765		39	2875	16	10
25.561	39.14639	2893	15.68627	9.411765		39	2875	16	10
25.625	38.52501	2893	15.68627	9.411765		39	2875	16	10
25.689	38.52501	2893	15.68627	9.411765		39	2875	16	10
25.749	38.52501	2884	15.68627	9.411765		39	2875	16	10
25.811	38.52501	2884	15.68627	9.411765		39	2875	16	10
25.875	38.52501	2884	15.68627	9.411765		39	2875	16	10
25.939	38.52501	2864	15.68627	9.411765		39	2875	16	10
26	38.52501	2864	15.68627	9.411765		39	2875	16	10
26.062	38.52501	2864	15.68627	9.411765		39	2875	16	10
26.125	38.52501	2864	15.68627	9.411765		39	2875	16	10
26.189	38.52501	2845	15.68627	9.411765		39	2875	16	10
26.249	38.52501	2845	15.68627	9.803922		39	2875	16	10
26.312	37.90364	2845	15.68627	9.803922		39	2875	16	10
26.376	37.90364	2821	15.68627	9.803922		39	2875	16	10
26.436	37.90364	2821	15.68627	9.411765		39	2875	16	10
26.5	37.90364	2821	15.68627	9.411765		39	2875	16	10
26.561	37.90364	2804	15.68627	9.411765		39	2750	16	10
